Smt. GODAVARI HINDI VIDYALAYA & JR. COLLEGE,18.6501684,73.7860344
NEW PUNE PUBLIC SCH. GANGANAGAR PRADHI,18.6469021,73.7764013
NOVEL INTERNATIONAL SCHOOL AKURDI,18.6575049,73.7996416
MHALASAKANT MAD HIGH VIDYALAY,18.6658525,73.7654367
SAI SANSKAR SANSTHA MENTALI HANDICAP SCHOOL SAMBHAJI NAGAR,18.6611313,73.8001948
CHRISTERIA HIGH SCHOOL NIGADI,18.6546240,73.7662550
CHATRAPATI SHAHU MAHARAJ ENG. SCHOOL KASARWADI,18.6047000,73.8265240
SHETH RAMDHARI RAMCHANDRA AAGR,18.6386767,73.8477186
SPG INTERNATIONAL PUBLIC SCHOOL BHOSARI,18.6248966,73.8566087
MASTERCARE ENG. SCH. BHOSARI,18.6284755,73.8562262
SHRI BHAIRVANATH MAD HIGH SCH,18.6216085,73.8506870
JIJAMATA PRI SCH VIDYALAYA,18.6153878,73.8461906
GALAXY SCHOOL DIGHI-15,18.6285502,73.8721655
CHOVISWADI PRI,18.6626343,73.8954381
CH. SHIVAJIRAJE MADYAMIK VID.(C.K.GOYAL),18.6267908,73.8057572
L. KHIVANSARA MOHANNAGAR GIRLS,18.6455820,73.7899780
M. J. PHULE CHINCHWAD STN. BOYS 1,18.6391010,73.7942015
ST. ANDREW'S PRI SCH. CHINCH,18.6455820,73.7899780
LATE.GANGARAM BAHIRWADE PRIMARY GIRLS SCHOOL CHINCHWAD STATION,18.6494010,73.7851180
RAMCHANDRA GAIKWAD PRI. SCH. DIGHI,18.6163987,73.8758979
ST. ANTHONY PRI. ENG. MED. SCHOOL DIGHI,18.6215256,73.8415369
LANDEWADI GIRLS SCHOOL NO 2,18.6385292,73.8477875
S. PHULE PRI. LANDEWADI BOYS 4,18.6196999,73.8427941
HORIZON ENG. MED. PRI. SCH. DIGHI,18.6215256,73.8415369
SANT SAI ENG.MED.SCH.,18.6196995,73.8428023
SWAMI SAMARTHA VIDYAMANDIR MAD,18.6312526,73.8405902
"HINDI MAD VID, LANDEWADI, BHOS",18.6177057,73.8485225
PATASHIBAI RATANCHAND MANAV KALYAN TRUST BLIND SCHOOL,18.6422117,73.8514055
"NAGESHWAR VIDYALAYA,MOSHI.",18.6731051,73.8477874
VIDYARTHI VICHAR ENG. JADHAVWADI,18.6584040,73.8112720
SADHU VASWANI INTERNATIONAL SCHOOL,18.6511704,73.8439179
S S AJMERA SEC SCH,18.6345859,73.8089508
P JAWAHARLAL NEHRU GIRLS 2,18.6326695,73.8220565
S.N.B.P. JR. COLLEGE MORWADI PIMPRI,18.6337918,73.8143365
CHINCHWAD BADHIR MUK VIDYALAYA NIGADI,18.5812977,73.8893174
WISDOM ENG MED. HIGH SCH.KIWALE,18.6570792,73.7206845
S.B. PATIL PUBLIC SCHOOL (CBSE) RAVET,18.6542505,73.7457441
ANGELS PUBLIC SCHOOL KIWALE DEHU RD.,18.6570792,73.7206845
PCMC PUNAWALE BOYS 103 PRI. SCHOOL,18.6611620,73.7286620
H A BARLOTA ENGLISH SCH,18.6631460,73.7262581
ST. ANN'S SCHOOL,18.6670492,73.7882509
NAVMAHARASHTRA MAD. VIDYALAYA RUPEENAGAR,18.6824850,73.7883418
VISHWAKALYAN ENG. MED. SCH. SONWANEWASTI,18.6838893,73.8053519
ZPPS AMONDI,19.0512336,73.8354716
ZPPS KOLDARE,19.1132337,73.7326775
ZPPS GONWADI,19.1132337,73.7326775
ZPPS MENUBARWADI,19.1625312,73.6669883
ZPPS PANCHALE BU,19.1132337,73.7326775
ZPPS LEMBHEWADI,19.0032227,73.9440477
ZPPS KARALEWADI,18.9881805,73.9636456
ZPPS JADHAWWADI,18.7858137,73.7213063
ZPPS KHADAKWADI,18.4211731,73.7168927
ZPPS THAKARWADI,18.9185980,74.0748024
BHIMASHANKAR VIDYA MANDIR SHINOLI,19.0767956,73.7756073
ZPPS KADEWADI,19.1132337,73.7326775
ZPPS NUMBERWADI THAKERWADI CHAS,18.9215278,73.8374954
ZPPS KOMBADWADI,19.1009610,74.1372087
SHARADCHANDRA PAWAR HIGHSCHOOL DIMBHE KURD,19.0757097,73.7402706
SHSKIY ASRAM SCHOOL GOHE BUDRUK,36.6110105,53.2389782
PMC SCHOOL NO. 151 B,18.5641702,73.8025122
DR. BABASAHEB AMBEDKAR JR. COLLEGE,18.5661404,73.8100764
ADITYA INTERNATIONAL SCHOOL,18.5613173,73.7812829
RAYAT SHIKSHAN SANSTHA PRI.,18.5639463,73.8102927
D B MURKUTE HIGH SCHOOL,18.5616180,73.8069190
VINDYANCHAL SCHOOL,18.5555565,73.8024164
DEVDHAR KRIDA PRABHODINI,18.5700627,73.7811352
MELINIUM NATIONAL SECONDARY,18.5641702,73.8025122
YASHODEEP PRATHAMIK,18.5641702,73.8025122
RAGHAVDAS VIDYALAY PRI.,18.4961554,73.8007340
VIMAL VIDYA KUNJ MARATHI SECO,18.4864727,73.7968340
PMC SCHOOL NO. 54 G,18.5374233,73.7943532
GORA KUMBHAR HIGH SCHOOL,18.5580070,73.8075201
PMC SCHOOL NO. 55 B,18.5641702,73.8025122
NEHARU PRIMARY,18.5616180,73.8069190
PMC SCHOOL NO. 64 G,18.5641702,73.8025122
PUNE POLICE PUBLIC SCHOOL,18.5641702,73.8025122
SHIVAJI VIDHYAMANDIR,18.5650759,73.8127891
P E S PRI,18.5641702,73.8025122
PMC SCHOOL VINI 9,18.5641702,73.8025122
PMC SCHOOL NO. 2 B,18.5296408,73.8395479
PMC SCHOOL NO. 112 B,18.4588737,73.8556108
CHANDRAKANT DARODE MADHYAMIK VIDYALAYA,18.5641702,73.8025122
PMC SCHOOL NO. 42 B,18.5641702,73.8025122
PMC SCHOOL NO. 90 B,18.5641702,73.8025122
KUSUMTAI BAGAL,18.5641702,73.8025122
GOPALKRISHNA PRI,18.5641702,73.8025122
RAMCHANDRA RATHI HIGHSCH,18.5141029,73.8287478
ABASAHEB GARWARE COLLEGE OF COMMERCE,18.5111353,73.8393098
PARANJAPE PRI,18.5641702,73.8025122
PREMLILA VITHAL KANYA SHALA,18.5165691,73.8036752
VIMLABAI GARWARE SCH,18.5135398,73.8407089
THE ANDHRA SCHOOL,18.5157290,73.8348683
DR.KALMADI SHAMARAO PRIMARY SCHOOL,18.5622314,73.8110732
NUTAN BAL VIKAS MANDIR,18.4962242,73.8312809
ABHINAV ENG. MED. SCH,18.5641702,73.8025122
SHARDA VIDYAMANDIR,18.5184234,73.8431735
SHIVAJI PRE SECONDARY,18.5641702,73.8025122
M.M.C.C. COLLEGE,18.5641702,73.8025122
DR.KALAMADI SHAMARAO HIGHSCHOOL,18.5622314,73.8110732
SEVASADAN ENG. MED. SCH,18.5012159,73.8321544
P. B. JOG JR. COLLEGE,18.5632227,73.8128201
SANT DYANESHWAR MADH,18.5641702,73.8025122
MAMASAHEB MOHOL JR. COLLEGE,18.5641702,73.8025122
SAU. VIJAYMALA KADAM KANYA PRASHALA,18.5641702,73.8025122
BHARATIYA VIDYA BHAVAN (SECONDARY),18.5641702,73.8025122
MES BAL SHIKSHAN MANDIR ENG MD,18.5632227,73.8128201
K P B JOG PRI ENG MD,18.4987777,73.7977928
P B JOG PRATHMIK MARATHI,18.5632227,73.8128201
SAHYADRI NATIONAL SECONDARY SCHOOL,18.4803533,73.8021136
PMC SCHOOL NO. 117 B,18.5647500,73.8124100
PMC SCHOOL NO. 117 B ENGLISH,18.4851320,73.8110947
PMC SCHOOL NO. 205 B,18.5374233,73.7943532
DR BABASAHEB AMBEDKAR VID,18.5165691,73.8036752
VISHVA NIRMAL VIDYALAY,18.5641702,73.8025122
VANAZ PARIWAR VIDYA MANDIR,18.5049165,73.8043150
NEW POONA SCHOOL,18.5641702,73.8025122
NEW INDIA ENG MEDIUM PRI,18.5641702,73.8025122
ZPPS PARNKUTI(CHOPDAJ),18.1841352,74.6107628
RADHESHAM N AGARWAL,18.1799271,74.6122269
"K.A.C.F. ENGLISH MEDIUM SCHOOL, BARAMATI",18.1592405,74.5861920
BARAMATI NAGAR PARISHADNO 5,18.1508919,74.5756767
BALKALYAN KENDRA MATIMAND MULANCHI SHALA,18.1348737,74.5103543
BARAMATI NAGAR PARISHADNO 3,18.1508919,74.5756767
BAL VIKAS MANDIR KASBA BARAMATI,18.1503812,74.5666191
"URDU MADYAMIK VIDYALAYA, BARAMATI",18.1508919,74.5756767
NEW ENGLISH SCHOOL MEKHALI,18.1841352,74.6107628
ZPPS BURUNGALEWASTI,18.0740203,74.5602423
WAJHESHVARI V.NIRAWAGAJ,18.1841352,74.6107628
ZPPS GHADGEWADI,18.1841352,74.6107628
ZPPS NIRAWAGAJ,18.1841352,74.6107628
ZPPS PATLU RASALWADI,18.2470945,74.4317374
VASANTRAO PAWAR VID DEULGAON RASAL,18.2869987,74.4584245
ZPPS DANDWADI,18.3533066,74.4232507
VASTIGRUH VIDYALAY KARHATI,18.2548120,74.4301431
S.ENGLISH M S.DEVDATNAGAR,18.1573263,74.5612729
BRILLIANT ENGLISH MED SCHOOL KARHAWAGAJ,18.1573263,74.5612729
ZPPS ANJANGAON,18.1573263,74.5612729
